Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.131513
1	CPU Time	1.040000
2	Effective Time	1.040000
2	Spin Time	0.0
2	Overhead Time	0.0
1	Total Thread Count	1
1	Paused Time	0.0
0	Top Hotspots	
0	Function	Module	CPU Time	% of CPU Time(%)
0	rand	libc.so.6	0.930031	89.4
0	photon	headless	0.099968	9.6
0	__logf_fma	libm.so.6	0.010001	1.0
0	Effective Physical Core Utilization	15.6% (1.562 out of 10)
1	Effective Logical Core Utilization	16.6% (1.993 out of 12)
0	Collection and Platform Info	
1	Application Command Line	./headless 
1	Operating System	6.11.0-19-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.2 LTS"
1	Computer Name	Camilo649
1	Result Size	3713272
1	Collection start time	05:16:32 17/03/2025 UTC
1	Collection stop time	05:16:33 17/03/2025 UTC
1	Collector Type	Driverless Perf per-process counting,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-P
2	Frequency	2611200111
2	Logical CPU Count	12
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
